variable_label,variable_name,year,category,births
risk_factors_checked,Risk Factors Checked,2020,11 cigarettes daily,198
risk_factors_checked,Risk Factors Checked,2020,12 cigarettes daily,1128
risk_factors_checked,Risk Factors Checked,2020,13 cigarettes daily,159
risk_factors_checked,Risk Factors Checked,2020,14 cigarettes daily,99
risk_factors_checked,Risk Factors Checked,2020,15 cigarettes daily,3729
risk_factors_checked,Risk Factors Checked,2020,16 cigarettes daily,55
risk_factors_checked,Risk Factors Checked,2020,17 cigarettes daily,41
risk_factors_checked,Risk Factors Checked,2020,18 cigarettes daily,67
risk_factors_checked,Risk Factors Checked,2020,19 cigarettes daily,16
risk_factors_checked,Risk Factors Checked,2020,20 cigarettes daily,25352
risk_factors_checked,Risk Factors Checked,2020,21 cigarettes daily,23
risk_factors_checked,Risk Factors Checked,2020,22 cigarettes daily,24
risk_factors_checked,Risk Factors Checked,2020,23 cigarettes daily,16
risk_factors_checked,Risk Factors Checked,2020,24 cigarettes daily,43
risk_factors_checked,Risk Factors Checked,2020,25 cigarettes daily,161
risk_factors_checked,Risk Factors Checked,2020,30 cigarettes daily,847
risk_factors_checked,Risk Factors Checked,2020,35 cigarettes daily,28
risk_factors_checked,Risk Factors Checked,2020,40 cigarettes daily,1222
risk_factors_checked,Risk Factors Checked,2020,45 cigarettes daily,25
risk_factors_checked,Risk Factors Checked,2020,50 cigarettes daily,31
risk_factors_checked,Risk Factors Checked,2020,60 cigarettes daily,265
risk_factors_checked,Risk Factors Checked,2020,80 cigarettes daily,96
risk_factors_checked,Risk Factors Checked,2020,90 cigarettes daily,18
risk_factors_checked,Risk Factors Checked,2020,98 or more,425
risk_factors_checked,Risk Factors Checked,2020,Unknown or Not Stated,14152
risk_factors_checked,Risk Factors Checked,2021,0 cigarettes daily,3507379
risk_factors_checked,Risk Factors Checked,2021,1 cigarettes daily,5738
risk_factors_checked,Risk Factors Checked,2021,2 cigarettes daily,8078
risk_factors_checked,Risk Factors Checked,2021,3 cigarettes daily,9571
risk_factors_checked,Risk Factors Checked,2021,4 cigarettes daily,6933
risk_factors_checked,Risk Factors Checked,2021,5 cigarettes daily,23231
risk_factors_checked,Risk Factors Checked,2021,6 cigarettes daily,5010
risk_factors_checked,Risk Factors Checked,2021,7 cigarettes daily,3268
risk_factors_checked,Risk Factors Checked,2021,8 cigarettes daily,2906
risk_factors_checked,Risk Factors Checked,2021,9 cigarettes daily,637
risk_factors_checked,Risk Factors Checked,2021,10 cigarettes daily,46274
risk_factors_checked,Risk Factors Checked,2021,11 cigarettes daily,193
risk_factors_checked,Risk Factors Checked,2021,12 cigarettes daily,985
risk_factors_checked,Risk Factors Checked,2021,13 cigarettes daily,108
risk_factors_checked,Risk Factors Checked,2021,14 cigarettes daily,76
risk_factors_checked,Risk Factors Checked,2021,15 cigarettes daily,3036
risk_factors_checked,Risk Factors Checked,2021,16 cigarettes daily,50
risk_factors_checked,Risk Factors Checked,2021,17 cigarettes daily,21
risk_factors_checked,Risk Factors Checked,2021,18 cigarettes daily,60
risk_factors_checked,Risk Factors Checked,2021,20 cigarettes daily,22008
risk_factors_checked,Risk Factors Checked,2021,21 cigarettes daily,20
risk_factors_checked,Risk Factors Checked,2021,22 cigarettes daily,18
risk_factors_checked,Risk Factors Checked,2021,24 cigarettes daily,40
risk_factors_checked,Risk Factors Checked,2021,25 cigarettes daily,125
risk_factors_checked,Risk Factors Checked,2021,30 cigarettes daily,772
risk_factors_checked,Risk Factors Checked,2021,35 cigarettes daily,21
risk_factors_checked,Risk Factors Checked,2021,40 cigarettes daily,1178
risk_factors_checked,Risk Factors Checked,2021,45 cigarettes daily,14
risk_factors_checked,Risk Factors Checked,2021,50 cigarettes daily,48
risk_factors_checked,Risk Factors Checked,2021,60 cigarettes daily,278
risk_factors_checked,Risk Factors Checked,2021,80 cigarettes daily,103
risk_factors_checked,Risk Factors Checked,2021,90 cigarettes daily,16
risk_factors_checked,Risk Factors Checked,2021,98 or more,414
risk_factors_checked,Risk Factors Checked,2021,Unknown or Not Stated,15600
risk_factors_checked,Risk Factors Checked,2022,0 cigarettes daily,3539618
risk_factors_checked,Risk Factors Checked,2022,1 cigarettes daily,4981
risk_factors_checked,Risk Factors Checked,2022,2 cigarettes daily,6292
risk_factors_checked,Risk Factors Checked,2022,3 cigarettes daily,7411
risk_factors_checked,Risk Factors Checked,2022,4 cigarettes daily,5542
risk_factors_checked,Risk Factors Checked,2022,5 cigarettes daily,18177
risk_factors_checked,Risk Factors Checked,2022,6 cigarettes daily,3885
risk_factors_checked,Risk Factors Checked,2022,7 cigarettes daily,2488
risk_factors_checked,Risk Factors Checked,2022,8 cigarettes daily,2145
risk_factors_checked,Risk Factors Checked,2022,9 cigarettes daily,478
risk_factors_checked,Risk Factors Checked,2022,10 cigarettes daily,36253
risk_factors_checked,Risk Factors Checked,2022,11 cigarettes daily,132
risk_factors_checked,Risk Factors Checked,2022,12 cigarettes daily,759
risk_factors_checked,Risk Factors Checked,2022,13 cigarettes daily,99
risk_factors_checked,Risk Factors Checked,2022,14 cigarettes daily,69
risk_factors_checked,Risk Factors Checked,2022,15 cigarettes daily,2439
risk_factors_checked,Risk Factors Checked,2022,16 cigarettes daily,41
risk_factors_checked,Risk Factors Checked,2022,17 cigarettes daily,17
risk_factors_checked,Risk Factors Checked,2022,18 cigarettes daily,45
risk_factors_checked,Risk Factors Checked,2022,20 cigarettes daily,18978
risk_factors_checked,Risk Factors Checked,2022,21 cigarettes daily,20
risk_factors_checked,Risk Factors Checked,2022,22 cigarettes daily,17
risk_factors_checked,Risk Factors Checked,2022,24 cigarettes daily,38
risk_factors_checked,Risk Factors Checked,2022,25 cigarettes daily,90
risk_factors_checked,Risk Factors Checked,2022,30 cigarettes daily,632
risk_factors_checked,Risk Factors Checked,2022,35 cigarettes daily,14
risk_factors_checked,Risk Factors Checked,2022,40 cigarettes daily,1027
risk_factors_checked,Risk Factors Checked,2022,50 cigarettes daily,27
risk_factors_checked,Risk Factors Checked,2022,60 cigarettes daily,238
risk_factors_checked,Risk Factors Checked,2022,70 cigarettes daily,12
risk_factors_checked,Risk Factors Checked,2022,80 cigarettes daily,143
risk_factors_checked,Risk Factors Checked,2022,90 cigarettes daily,26
risk_factors_checked,Risk Factors Checked,2022,98 or more,306
risk_factors_checked,Risk Factors Checked,2022,Unknown or Not Stated,15251
risk_factors_checked,Risk Factors Checked,2023,0 cigarettes daily,3491340
risk_factors_checked,Risk Factors Checked,2023,1 cigarettes daily,4726
risk_factors_checked,Risk Factors Checked,2023,2 cigarettes daily,5206
risk_factors_checked,Risk Factors Checked,2023,3 cigarettes daily,6157
risk_factors_checked,Risk Factors Checked,2023,4 cigarettes daily,4388
risk_factors_checked,Risk Factors Checked,2023,5 cigarettes daily,14543
risk_factors_checked,Risk Factors Checked,2023,6 cigarettes daily,3141
risk_factors_checked,Risk Factors Checked,2023,7 cigarettes daily,2029
risk_factors_checked,Risk Factors Checked,2023,8 cigarettes daily,1709
risk_factors_checked,Risk Factors Checked,2023,9 cigarettes daily,447
risk_factors_checked,Risk Factors Checked,2023,10 cigarettes daily,28647
risk_factors_checked,Risk Factors Checked,2023,11 cigarettes daily,114
risk_factors_checked,Risk Factors Checked,2023,12 cigarettes daily,617
risk_factors_checked,Risk Factors Checked,2023,13 cigarettes daily,71
risk_factors_checked,Risk Factors Checked,2023,14 cigarettes daily,59
risk_factors_checked,Risk Factors Checked,2023,15 cigarettes daily,1788
risk_factors_checked,Risk Factors Checked,2023,16 cigarettes daily,29
risk_factors_checked,Risk Factors Checked,2023,17 cigarettes daily,11
risk_factors_checked,Risk Factors Checked,2023,18 cigarettes daily,40
risk_factors_checked,Risk Factors Checked,2023,20 cigarettes daily,15259
risk_factors_checked,Risk Factors Checked,2023,21 cigarettes daily,18
risk_factors_checked,Risk Factors Checked,2023,24 cigarettes daily,29
risk_factors_checked,Risk Factors Checked,2023,25 cigarettes daily,105
risk_factors_checked,Risk Factors Checked,2023,30 cigarettes daily,515
risk_factors_checked,Risk Factors Checked,2023,35 cigarettes daily,16
risk_factors_checked,Risk Factors Checked,2023,40 cigarettes daily,864
risk_factors_checked,Risk Factors Checked,2023,45 cigarettes daily,10
risk_factors_checked,Risk Factors Checked,2023,50 cigarettes daily,29
risk_factors_checked,Risk Factors Checked,2023,60 cigarettes daily,231
risk_factors_checked,Risk Factors Checked,2023,80 cigarettes daily,108
risk_factors_checked,Risk Factors Checked,2023,90 cigarettes daily,21
risk_factors_checked,Risk Factors Checked,2023,98 or more,271
risk_factors_checked,Risk Factors Checked,2023,Unknown or Not Stated,13431
risk_factors_checked,Risk Factors Checked,2024,0 cigarettes daily,3538260
risk_factors_checked,Risk Factors Checked,2024,1 cigarettes daily,4293
risk_factors_checked,Risk Factors Checked,2024,2 cigarettes daily,4502
risk_factors_checked,Risk Factors Checked,2024,3 cigarettes daily,5203
risk_factors_checked,Risk Factors Checked,2024,4 cigarettes daily,3633
risk_factors_checked,Risk Factors Checked,2024,5 cigarettes daily,11606
risk_factors_checked,Risk Factors Checked,2024,6 cigarettes daily,2626
risk_factors_checked,Risk Factors Checked,2024,7 cigarettes daily,1651
risk_factors_checked,Risk Factors Checked,2024,8 cigarettes daily,1380
risk_factors_checked,Risk Factors Checked,2024,9 cigarettes daily,321
risk_factors_checked,Risk Factors Checked,2024,10 cigarettes daily,21666
risk_factors_checked,Risk Factors Checked,2024,11 cigarettes daily,76
risk_factors_checked,Risk Factors Checked,2024,12 cigarettes daily,451
risk_factors_checked,Risk Factors Checked,2024,13 cigarettes daily,50
risk_factors_checked,Risk Factors Checked,2024,14 cigarettes daily,42
risk_factors_checked,Risk Factors Checked,2024,15 cigarettes daily,1406
risk_factors_checked,Risk Factors Checked,2024,16 cigarettes daily,35
risk_factors_checked,Risk Factors Checked,2024,17 cigarettes daily,15
risk_factors_checked,Risk Factors Checked,2024,18 cigarettes daily,32
risk_factors_checked,Risk Factors Checked,2024,20 cigarettes daily,12498
risk_factors_checked,Risk Factors Checked,2024,21 cigarettes daily,15
risk_factors_checked,Risk Factors Checked,2024,24 cigarettes daily,21
risk_factors_checked,Risk Factors Checked,2024,25 cigarettes daily,53
risk_factors_checked,Risk Factors Checked,2024,30 cigarettes daily,326
risk_factors_checked,Risk Factors Checked,2024,40 cigarettes daily,745
risk_factors_checked,Risk Factors Checked,2024,50 cigarettes daily,15
risk_factors_checked,Risk Factors Checked,2024,60 cigarettes daily,169
risk_factors_checked,Risk Factors Checked,2024,80 cigarettes daily,107
risk_factors_checked,Risk Factors Checked,2024,90 cigarettes daily,18
risk_factors_checked,Risk Factors Checked,2024,98 or more,253
risk_factors_checked,Risk Factors Checked,2024,Unknown or Not Stated,17406
